source,eval_session,run_id,instances,resolved_true,resolved_false,resolved_unknown,patch_exists_true,patch_applied_true,resolved_rate_pct,patch_applied_rate_pct
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__smoke2,lite83__gpt53-codex__local_cached__t1_pnone_c0,2,2,0,0,2,2,100.0,100.0
from_swe_agent_src,session__lite83__gpt53-codex__local_cached__t1_pnone_c0__submitted,lite83__gpt53-codex__local_cached__t1_pnone_c0,78,48,30,0,78,78,61.54,100.0
from_swe_agent_src,session__lite83__gpt53-codex__nobudget_mt8_probev3_rerun1__t1_pnone_c0__main,lite83__gpt53-codex__nobudget_mt8_probev3_rerun1__t1_pnone_c0,74,47,27,0,74,74,63.51,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok100k__t1_pnone_c0__localds_retryfull2,lite83__gpt53-codex__tok100k__t1_pnone_c0,76,46,30,0,76,76,60.53,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok100k_mt8_probev3_rerun1__t1_pnone_c0__main,lite83__gpt53-codex__tok100k_mt8_probev3_rerun1__t1_pnone_c0,79,49,30,0,79,79,62.03,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok10k_mt4_probev2__t1_pnone_c0__main,lite83__gpt53-codex__tok10k_mt4_probev2__t1_pnone_c0,41,9,32,0,41,41,21.95,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok15k_mt8_probev3__t1_pnone_c0__main,lite83__gpt53-codex__tok15k_mt8_probev3__t1_pnone_c0,47,15,32,0,47,47,31.91,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok20k_mt8_probev3__t1_pnone_c0__main,lite83__gpt53-codex__tok20k_mt8_probev3__t1_pnone_c0,56,24,32,0,56,56,42.86,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok25k_mt8_probev3_rerun2__t1_pnone_c0__main,lite83__gpt53-codex__tok25k_mt8_probev3_rerun2__t1_pnone_c0,79,37,42,0,79,79,46.84,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok30k_mt4_probev3__t1_pnone_c0__main,lite83__gpt53-codex__tok30k_mt4_probev3__t1_pnone_c0,73,43,30,0,73,73,58.9,100.0
from_swe_agent_src,session__lite83__gpt53-codex__tok50k_mt4_probev2__t1_pnone_c0__main,lite83__gpt53-codex__tok50k_mt4_probev2__t1_pnone_c0,82,44,38,0,82,82,53.66,100.0
from_swe_agent_src,session__lite83__gpt54__tok100k_mt8_probev3_gpt54_rerun1__t1_pnone_c0__main,lite83__gpt54__tok100k_mt8_probev3_gpt54_rerun1__t1_pnone_c0,74,48,26,0,74,74,64.86,100.0
from_swe_agent_src,session__lite83__gpt54__tok200k_mt8_probev3_gpt54_rerun3__t1_pnone_c0__main,lite83__gpt54__tok200k_mt8_probev3_gpt54_rerun3__t1_pnone_c0,82,61,21,0,82,82,74.39,100.0
from_swe_agent_src,session__lite83__gpt54__tok25k_mt8_probev3_gpt54_rerun1__t1_pnone_c0__main,lite83__gpt54__tok25k_mt8_probev3_gpt54_rerun1__t1_pnone_c0,1,0,1,0,1,1,0.0,100.0
from_workspace_root,workspace__lite83__gpt53-codex__tok25k_mt8_probev3_closed_window_rerun1__t1_pnone_c0,lite83__gpt53-codex__tok25k_mt8_probev3_closed_window_rerun1__t1_pnone_c0,72,32,40,0,72,72,44.44,100.0
